case_id,transaction_amount,customer_order_count,previous_refunds,previous_disputes,delivery_confirmed,delivery_delay_days,dispute_delay_days,customer_avg_order_value,communication_count,refund_amount_ratio,payment_failures,evidence_items_available,evidence_items_missing,dispute_reason,contest_success
CASE-2581,65314.11,3,3,0,1,0,22,59462.51,14,0.364,2,6,0,item_not_received,1
CASE-2582,366.32,10,9,0,0,2,7,423.06,2,1.0,0,3,3,unauthorized,0
CASE-2583,14932.51,75,0,1,1,4,2,12692.05,1,0.109,2,6,0,defective,1
CASE-2584,77691.88,1,0,0,1,0,4,188376.84,13,0.314,0,5,1,item_not_received,1
CASE-2585,72122.06,27,3,0,1,7,13,31551.62,3,0.538,5,6,0,defective,1
CASE-2586,1915.43,1,0,0,1,0,5,2161.86,9,0.249,2,5,1,item_not_received,1
CASE-2587,604.45,3,9,0,1,0,25,300.36,1,0.65,0,4,2,item_not_received,1
CASE-2588,15880.02,16,4,0,1,0,8,21516.9,0,0.581,2,5,1,item_not_received,1
CASE-2589,9919.85,3,0,0,1,23,29,18985.91,0,0.034,0,4,2,item_not_received,1
CASE-2590,1306.28,5,7,1,0,16,21,1543.7,7,0.677,0,4,2,item_not_received,0
CASE-2591,2990.1,5,1,0,1,0,3,7080.07,8,0.383,1,6,0,other,1
CASE-2592,10037.15,71,0,0,1,0,16,12823.77,4,0.29,1,6,0,unauthorized,1
CASE-2593,53293.06,10,4,1,1,3,52,58906.21,4,0.688,0,5,1,item_not_received,1
CASE-2594,2491.6,7,2,1,1,0,7,1789.38,6,0.542,5,5,1,item_not_received,1
CASE-2595,131678.73,3,6,0,1,0,37,59026.46,4,0.616,1,6,0,other,0
CASE-2596,878.6,1,0,0,0,26,87,1171.92,4,0.078,0,2,4,duplicate,0
CASE-2597,1893.45,12,0,2,1,0,4,4645.37,0,0.339,0,3,3,item_not_received,1
CASE-2598,13731.72,9,2,0,1,26,4,11387.62,0,0.241,0,5,1,defective,1
CASE-2599,6205.82,11,0,0,0,9,18,6359.36,1,0.147,0,3,3,unauthorized,0
CASE-2600,8505.18,4,0,0,1,0,3,19264.07,4,0.33,0,5,1,item_not_received,1
CASE-2601,8499.72,6,1,0,0,6,56,20417.54,1,0.256,0,3,3,duplicate,0
CASE-2602,60235.3,13,8,2,1,29,2,106361.15,3,0.737,0,6,0,defective,1
CASE-2603,38913.32,99,9,4,1,0,5,11726.49,1,1.0,5,5,1,item_not_received,1
CASE-2604,4001.94,41,1,4,1,0,23,5942.69,3,0.56,0,5,1,defective,1
CASE-2605,1345.17,32,0,2,1,15,20,2305.4,12,0.098,2,6,0,unauthorized,1
CASE-2606,113535.56,67,2,0,1,0,30,283565.98,7,0.279,0,5,1,item_not_received,1
CASE-2607,15485.15,17,0,0,1,18,88,34247.72,4,0.162,0,5,1,other,1
CASE-2608,891.64,3,2,0,1,0,15,729.09,2,0.424,0,4,2,item_not_received,1
CASE-2609,1325.33,1,1,0,0,22,7,900.98,3,0.434,0,3,3,unauthorized,0
CASE-2610,915.88,1,8,2,0,24,69,1464.56,2,0.975,5,3,3,item_not_received,0
CASE-2611,12257.6,1,3,0,0,28,2,18619.8,2,0.329,2,3,3,unauthorized,0
CASE-2612,1415.4,15,2,0,1,0,2,897.4,8,0.192,2,5,1,defective,1
CASE-2613,103169.46,5,3,0,0,29,9,141616.52,13,0.675,0,3,3,other,0
CASE-2614,12269.19,14,1,0,1,0,66,6780.5,10,0.309,0,4,2,unauthorized,0
CASE-2615,1357.35,14,2,0,1,0,21,2487.97,12,0.273,0,5,1,duplicate,1
CASE-2616,9260.32,1,0,7,1,0,1,12844.43,0,0.131,0,6,0,defective,0
CASE-2617,112449.88,2,0,0,0,13,71,39258.35,4,0.098,0,5,1,unauthorized,0
CASE-2618,13590.28,4,7,0,0,5,20,7838.03,13,1.0,0,3,3,unauthorized,0
CASE-2619,15377.01,5,0,0,0,13,24,29901.24,3,0.069,1,2,4,item_not_received,0
CASE-2620,1204.06,14,0,0,1,2,67,2749.97,13,0.011,1,5,1,item_not_received,1
CASE-2621,18296.25,19,0,0,1,25,3,17627.23,3,0.394,0,2,4,defective,0
CASE-2622,10810.19,3,9,0,1,0,1,24470.15,1,1.0,2,3,3,defective,0
CASE-2623,1685.99,14,1,0,0,20,2,874.79,2,0.112,0,2,4,unauthorized,0
CASE-2624,19557.43,3,2,0,1,0,21,21183.27,1,0.219,0,5,1,defective,1
CASE-2625,12308.74,15,0,2,1,0,28,6482.1,7,0.279,0,6,0,item_not_received,1
CASE-2626,139227.9,10,3,2,0,9,17,185746.19,4,0.724,0,3,3,item_not_received,0
CASE-2627,358.55,1,5,0,1,0,17,753.78,3,1.0,4,6,0,defective,1
CASE-2628,1158.2,3,0,0,1,21,25,2519.73,1,0.053,3,4,2,other,0
CASE-2629,525.58,18,2,1,1,0,23,388.18,0,0.254,0,3,3,unauthorized,0
CASE-2630,942.39,37,2,2,0,22,74,2211.0,3,0.587,2,4,2,other,0
CASE-2631,834.31,2,5,7,0,6,73,1623.46,1,0.692,1,4,2,unauthorized,0
CASE-2632,81472.66,4,0,0,1,0,7,156485.41,4,0.334,0,5,1,unauthorized,0
CASE-2633,1312.52,6,1,4,1,0,16,2289.62,1,0.066,0,4,2,item_not_received,1
CASE-2634,1384.39,10,0,2,1,0,28,1472.77,4,0.184,0,6,0,unauthorized,1
CASE-2635,813.9,1,0,0,0,14,27,310.6,1,0.103,0,1,5,unauthorized,0
CASE-2636,64033.71,3,0,0,1,0,6,126706.54,9,0.141,0,5,1,defective,1
CASE-2637,70160.21,22,0,0,1,0,3,73056.84,11,0.192,1,4,2,unauthorized,1
CASE-2638,598.47,44,0,1,0,22,1,542.62,7,0.129,0,3,3,duplicate,1
CASE-2639,13497.46,4,1,1,1,0,3,17086.85,14,0.274,0,6,0,item_not_received,1
CASE-2640,4605.6,9,7,0,1,0,18,11148.73,11,0.351,5,5,1,item_not_received,1
CASE-2641,1194.76,2,9,2,1,11,3,1385.6,0,0.715,0,6,0,other,1
CASE-2642,529.94,13,2,0,1,0,48,886.3,2,0.174,1,3,3,defective,1
CASE-2643,5346.96,5,2,1,1,0,18,10098.12,13,0.351,1,5,1,duplicate,1
CASE-2644,50499.04,6,0,0,0,2,4,42362.48,12,0.382,0,4,2,duplicate,1
CASE-2645,5021.6,65,1,0,1,7,71,4243.45,12,0.548,0,4,2,item_not_received,1
CASE-2646,1240.98,3,0,0,1,0,2,2238.9,1,0.054,0,6,0,unauthorized,1
CASE-2647,7169.72,2,0,6,0,9,2,13915.19,14,0.159,0,3,3,item_not_received,0
CASE-2648,613.88,13,3,0,1,0,73,431.88,1,0.28,0,3,3,unauthorized,0
CASE-2649,1885.55,2,3,0,1,0,78,593.44,0,0.533,0,6,0,item_not_received,1
CASE-2650,4083.98,2,0,2,1,10,22,2670.35,1,0.102,6,4,2,item_not_received,1
CASE-2651,15721.72,3,7,0,1,0,5,20316.26,11,0.696,1,4,2,item_not_received,1
CASE-2652,73978.54,6,0,0,1,0,10,149398.31,8,0.25,2,5,1,item_not_received,1
CASE-2653,134033.45,11,0,0,0,3,3,114979.01,12,0.041,0,3,3,item_not_received,0
CASE-2654,1620.01,18,0,3,1,11,6,932.6,2,0.061,1,6,0,defective,1
CASE-2655,18831.03,32,0,3,0,2,23,26060.61,3,0.045,0,0,6,defective,1
CASE-2656,85649.95,13,0,0,1,9,63,189997.83,0,0.015,0,5,1,unauthorized,1
CASE-2657,1862.61,41,0,0,1,28,51,2896.28,4,0.085,3,4,2,defective,1
CASE-2658,9940.13,18,0,1,1,0,69,21413.66,0,0.167,0,6,0,item_not_received,1
CASE-2659,9083.63,1,0,0,1,16,10,10274.96,0,0.086,3,4,2,duplicate,1
CASE-2660,331.78,3,0,3,1,0,26,651.0,0,0.115,0,5,1,item_not_received,1
CASE-2661,29619.8,2,1,0,1,0,80,22189.04,0,0.303,1,5,1,item_not_received,1
CASE-2662,31832.01,13,0,1,0,2,26,48147.6,10,0.076,0,3,3,other,0
CASE-2663,483.02,1,0,0,1,20,2,986.56,8,0.054,0,6,0,item_not_received,1
CASE-2664,10089.0,1,3,0,1,26,86,13292.83,14,0.524,1,6,0,item_not_received,1
CASE-2665,1970.87,96,3,0,1,13,7,2849.65,0,0.655,0,3,3,defective,0
CASE-2666,3232.98,38,2,1,0,24,5,5549.3,2,0.424,0,2,4,item_not_received,0
CASE-2667,19200.27,4,0,0,1,0,29,17014.86,6,0.401,2,5,1,other,1
CASE-2668,1792.51,2,5,0,0,29,29,1607.97,3,0.57,2,4,2,item_not_received,0
CASE-2669,19330.3,22,2,2,1,0,20,21762.36,13,0.306,0,6,0,item_not_received,1
CASE-2670,8659.97,19,0,1,0,9,29,8622.58,3,0.108,6,5,1,item_not_received,0
CASE-2671,59259.62,2,3,0,0,17,9,34504.4,4,0.325,2,4,2,unauthorized,0
CASE-2672,7298.67,4,1,6,1,14,25,2522.12,0,0.383,2,6,0,defective,0
CASE-2673,395.14,4,3,0,1,0,82,780.86,3,0.587,0,5,1,unauthorized,1
CASE-2674,19665.28,11,0,2,0,10,11,30909.3,0,0.273,2,2,4,defective,0
CASE-2675,1781.99,87,0,0,0,26,3,1584.25,4,0.194,0,4,2,unauthorized,0
CASE-2676,17840.37,16,9,0,1,0,16,31058.19,1,0.887,0,5,1,unauthorized,0
CASE-2677,1174.72,56,0,0,0,17,19,528.28,0,0.057,0,4,2,item_not_received,1
CASE-2678,125157.06,2,3,2,0,9,3,97390.75,0,0.683,0,3,3,item_not_received,0
CASE-2679,94695.67,16,1,0,1,14,3,205025.38,0,0.164,0,4,2,item_not_received,1
CASE-2680,13528.8,27,0,1,1,0,25,28265.74,10,0.032,0,4,2,unauthorized,0
CASE-2681,18540.14,9,2,1,1,25,15,18332.58,3,0.191,0,4,2,unauthorized,1
CASE-2682,4497.77,10,0,2,1,0,1,3399.86,4,0.295,1,6,0,defective,1
CASE-2683,14941.52,7,1,1,0,17,75,17087.8,4,0.194,0,2,4,item_not_received,0
CASE-2684,47830.81,32,0,0,1,3,6,116457.69,1,0.142,1,6,0,other,1
CASE-2685,601.44,1,2,0,1,0,7,1219.53,2,0.164,5,3,3,unauthorized,1
CASE-2686,21075.75,2,1,0,0,18,23,49060.61,5,0.222,0,1,5,unauthorized,0
CASE-2687,1070.68,11,0,0,1,0,35,490.45,0,0.206,0,6,0,unauthorized,1
CASE-2688,5140.51,3,1,5,1,0,17,4017.38,3,0.347,0,5,1,item_not_received,0
CASE-2689,16582.32,7,0,0,1,24,3,37703.67,1,0.498,0,4,2,item_not_received,1
CASE-2690,723.04,35,0,2,0,26,4,1311.08,7,0.033,0,4,2,item_not_received,0
CASE-2691,10962.45,8,0,0,1,0,26,13495.88,0,0.087,0,4,2,unauthorized,1
CASE-2692,4387.42,2,3,2,0,25,69,9332.45,2,0.683,6,1,5,unauthorized,0
CASE-2693,7138.63,2,8,0,1,26,56,6739.34,3,0.808,0,5,1,item_not_received,0
CASE-2694,209.25,5,0,0,1,28,6,506.25,12,0.167,0,5,1,unauthorized,1
CASE-2695,326.69,1,0,0,1,0,3,200.89,0,0.529,0,5,1,unauthorized,1
CASE-2696,2653.94,14,1,1,1,19,57,5439.66,10,0.135,0,6,0,item_not_received,1
CASE-2697,16727.77,16,1,3,0,29,15,18475.56,3,0.252,0,3,3,defective,0
CASE-2698,1629.68,3,0,0,1,0,2,2379.66,9,0.137,0,4,2,duplicate,1
CASE-2699,28105.29,19,0,1,1,0,73,11978.46,0,0.267,4,5,1,item_not_received,1
CASE-2700,10915.31,8,2,0,1,0,73,24821.53,0,0.289,0,4,2,duplicate,1
CASE-2701,7021.3,1,0,5,0,3,5,4915.97,4,0.169,0,2,4,item_not_received,0
CASE-2702,11887.53,14,1,6,0,11,18,16454.68,3,0.087,0,2,4,item_not_received,0
CASE-2703,51448.54,4,9,0,0,9,1,112761.38,12,1.0,0,3,3,item_not_received,0
CASE-2704,526.0,4,0,2,1,0,33,1198.62,2,0.261,1,4,2,item_not_received,0
CASE-2705,9625.03,11,7,4,1,0,29,21490.11,0,0.646,0,4,2,unauthorized,0
CASE-2706,130972.43,1,6,2,0,19,22,306543.51,2,0.5,6,2,4,unauthorized,0
CASE-2707,15299.03,10,0,2,1,0,2,30156.07,1,0.335,0,5,1,item_not_received,1
CASE-2708,242.67,13,0,0,1,0,27,459.44,0,0.076,0,3,3,defective,1
CASE-2709,289.52,5,1,2,1,0,5,659.93,0,0.102,0,5,1,item_not_received,1
CASE-2710,15494.81,12,0,0,0,28,4,11661.85,2,0.067,0,3,3,unauthorized,1
CASE-2711,54571.74,17,3,2,0,15,39,58654.91,7,0.643,0,5,1,duplicate,0
CASE-2712,34755.47,2,0,0,1,0,19,78947.37,13,0.163,0,3,3,other,1
CASE-2713,18279.97,2,0,0,1,0,64,21893.21,3,0.077,1,5,1,item_not_received,1
CASE-2714,1713.17,1,0,4,1,0,15,2213.05,14,0.223,2,6,0,defective,1
CASE-2715,7809.68,44,2,0,1,0,15,3932.14,0,0.576,0,6,0,item_not_received,0
CASE-2716,3805.59,12,1,1,1,0,12,2846.38,3,0.23,2,4,2,defective,0
CASE-2717,19120.88,8,4,7,0,12,27,7248.16,1,0.418,2,4,2,defective,0
CASE-2718,1147.41,87,0,0,1,3,1,1150.38,4,0.113,0,5,1,unauthorized,1
CASE-2719,993.11,12,0,0,1,0,13,1233.51,4,0.202,0,5,1,item_not_received,0
CASE-2720,431.77,87,5,0,1,0,12,1039.33,1,0.576,0,5,1,unauthorized,0
CASE-2721,1352.37,18,9,0,0,0,13,1522.69,12,1.0,0,5,1,unauthorized,0
CASE-2722,14439.09,1,0,2,1,0,19,7017.41,10,0.121,0,5,1,duplicate,1
CASE-2723,296.84,14,2,0,0,20,13,674.51,4,0.361,0,2,4,item_not_received,0
CASE-2724,1861.5,5,0,0,0,4,5,4117.88,3,0.144,0,4,2,unauthorized,0
CASE-2725,701.82,35,0,2,1,0,20,847.93,10,0.244,0,6,0,defective,1
CASE-2726,6969.24,19,0,0,1,0,2,6444.63,11,0.086,1,3,3,other,1
CASE-2727,8396.77,4,0,3,1,20,27,20149.59,1,0.068,2,2,4,item_not_received,1
CASE-2728,15850.41,4,1,0,1,0,17,11482.46,1,0.432,4,5,1,other,1
CASE-2729,994.11,6,0,0,1,27,12,941.03,8,0.12,2,1,5,unauthorized,0
CASE-2730,19572.88,2,9,4,1,0,15,24207.95,3,1.0,0,3,3,unauthorized,0
CASE-2731,7171.87,9,0,1,1,0,43,14781.22,0,0.302,0,4,2,other,1
CASE-2732,100185.91,12,3,2,0,27,6,241655.63,5,0.769,0,3,3,unauthorized,0
CASE-2733,24742.08,3,2,0,0,13,25,56321.94,0,0.257,0,5,1,unauthorized,0
CASE-2734,17185.02,1,0,2,0,5,15,18766.26,4,0.063,0,3,3,duplicate,0
CASE-2735,1883.46,1,0,2,1,0,20,3963.68,1,0.051,0,2,4,item_not_received,1
CASE-2736,1717.64,3,0,0,1,0,2,823.34,0,0.07,1,4,2,other,1
CASE-2737,1224.24,55,0,2,1,0,12,2597.0,0,0.111,0,5,1,duplicate,0
CASE-2738,108814.64,3,1,0,1,0,22,56392.59,4,0.505,0,5,1,defective,1
CASE-2739,17235.65,4,0,0,1,0,6,36832.58,2,0.029,0,4,2,defective,1
CASE-2740,109544.32,18,0,0,1,3,41,234633.83,9,0.066,0,6,0,item_not_received,1
CASE-2741,5348.09,9,0,0,0,25,19,7174.84,2,0.346,0,4,2,defective,0
CASE-2742,1339.08,4,2,0,0,26,17,3018.65,1,0.255,0,4,2,defective,0
CASE-2743,2380.77,10,4,2,1,9,1,4885.3,1,0.465,0,4,2,duplicate,0
CASE-2744,22069.55,74,3,0,1,0,55,38896.72,11,0.47,0,2,4,item_not_received,1
CASE-2745,45939.16,19,0,1,1,0,3,55231.28,3,0.337,1,6,0,defective,1
CASE-2746,10191.03,1,3,1,0,29,18,24780.06,0,0.469,0,3,3,item_not_received,0
CASE-2747,1969.54,19,4,0,1,0,1,1718.49,0,0.604,0,5,1,unauthorized,1
CASE-2748,5727.7,92,0,0,1,14,78,3809.65,11,0.07,0,5,1,item_not_received,1
CASE-2749,1255.44,17,8,1,1,15,27,1659.66,10,1.0,0,5,1,unauthorized,0
CASE-2750,42198.62,18,0,0,1,0,15,104444.82,0,0.37,0,5,1,unauthorized,1
CASE-2751,9180.32,29,2,1,1,8,26,4113.18,1,0.524,5,5,1,unauthorized,1
CASE-2752,14509.83,4,0,1,1,0,28,8104.78,2,0.097,2,6,0,defective,1
CASE-2753,514.76,15,0,0,0,25,75,745.57,4,0.241,2,4,2,defective,0
CASE-2754,1534.2,11,0,0,0,21,27,3310.23,3,0.152,1,4,2,unauthorized,0
CASE-2755,1379.19,1,3,0,1,0,10,2034.28,4,0.302,0,5,1,unauthorized,1
CASE-2756,732.68,17,4,1,1,0,6,1230.95,1,0.526,0,4,2,defective,0
CASE-2757,670.23,19,3,0,1,3,27,1319.8,3,0.37,0,5,1,defective,1
CASE-2758,254.2,2,0,0,0,14,87,481.1,2,0.261,5,2,4,defective,0
CASE-2759,125479.19,4,0,0,1,3,9,98763.32,1,0.06,0,4,2,defective,1
CASE-2760,792.09,35,0,7,1,0,5,1655.68,1,0.139,0,5,1,item_not_received,1
CASE-2761,16118.46,2,0,0,0,19,56,36877.93,0,0.122,1,5,1,item_not_received,0
CASE-2762,1268.69,3,2,0,1,4,21,1053.05,3,0.419,0,5,1,defective,1
CASE-2763,12301.23,14,2,7,1,0,29,15927.85,3,0.204,2,4,2,item_not_received,0
CASE-2764,51095.32,11,5,0,1,4,10,120100.28,14,0.704,0,6,0,unauthorized,1
CASE-2765,27283.35,4,3,0,1,0,18,26581.83,5,0.5,0,5,1,other,1
CASE-2766,74488.35,13,2,0,1,29,1,119218.55,3,0.178,0,4,2,unauthorized,0
CASE-2767,770.41,1,5,0,1,1,86,1357.54,3,0.528,0,4,2,item_not_received,0
CASE-2768,120752.2,15,2,0,1,23,8,233233.97,4,0.202,0,5,1,duplicate,1
CASE-2769,32227.92,13,0,0,1,0,60,55570.58,7,0.302,0,4,2,unauthorized,1
CASE-2770,518.51,17,3,0,1,0,72,602.99,13,0.509,0,4,2,item_not_received,1
CASE-2771,4859.13,13,0,0,1,0,28,3528.4,0,0.116,0,4,2,item_not_received,1
CASE-2772,1540.55,37,0,5,1,3,50,1046.78,3,0.043,2,3,3,item_not_received,0
CASE-2773,127508.7,20,0,4,0,20,26,225975.66,0,0.101,2,2,4,item_not_received,0
CASE-2774,19879.31,58,3,1,1,0,21,8391.22,4,0.191,1,2,4,item_not_received,1
CASE-2775,144271.89,3,0,2,0,9,18,193690.66,0,0.195,0,4,2,duplicate,0
CASE-2776,70952.35,2,4,2,1,0,16,92709.11,8,0.762,0,4,2,item_not_received,1
CASE-2777,977.79,1,0,1,1,5,21,1063.08,4,0.073,0,5,1,unauthorized,1
CASE-2778,88598.17,1,0,2,1,0,11,59877.66,0,0.307,4,4,2,unauthorized,1
CASE-2779,78130.98,6,0,0,1,3,3,103502.82,0,0.065,5,4,2,item_not_received,1
CASE-2780,1357.96,18,3,0,1,0,26,706.41,4,0.278,0,4,2,defective,1
CASE-2781,13576.85,7,9,2,0,25,2,14327.6,1,0.9,5,1,5,item_not_received,0
CASE-2782,494.17,5,0,1,0,2,10,494.0,3,0.05,2,3,3,defective,0
CASE-2783,275.55,1,0,1,0,14,22,143.95,4,0.16,0,5,1,defective,0
CASE-2784,10115.41,4,6,1,1,20,19,7614.88,0,0.598,4,4,2,defective,0
CASE-2785,12006.96,1,0,0,1,0,88,6847.09,9,0.257,0,6,0,unauthorized,1
CASE-2786,1545.76,63,0,0,1,0,4,2992.41,0,0.062,0,5,1,item_not_received,1
CASE-2787,422.13,9,0,0,0,4,13,663.39,6,0.031,0,4,2,defective,0
CASE-2788,1392.95,16,1,0,1,0,28,2639.2,1,0.215,0,5,1,duplicate,1
CASE-2789,1657.05,19,0,0,0,24,17,2921.5,3,0.069,3,2,4,unauthorized,0
CASE-2790,1398.88,1,0,0,0,10,6,3307.01,0,0.09,0,2,4,other,0
CASE-2791,18558.76,6,3,1,1,0,82,34985.63,1,0.642,0,6,0,unauthorized,0
CASE-2792,1197.7,9,0,1,1,0,18,2801.69,4,0.414,5,5,1,unauthorized,1
CASE-2793,1915.16,49,3,1,0,0,15,4256.53,7,0.533,0,4,2,item_not_received,0
CASE-2794,86470.15,3,0,0,1,20,18,201720.63,2,0.232,0,5,1,item_not_received,1
CASE-2795,598.61,6,2,2,1,19,11,1493.0,1,0.595,0,6,0,duplicate,1
CASE-2796,1950.44,10,1,1,1,20,54,2062.13,6,0.344,0,6,0,item_not_received,1
CASE-2797,491.36,3,5,6,1,13,73,1179.54,0,0.702,0,4,2,item_not_received,0
CASE-2798,98440.24,19,2,0,0,12,11,90278.86,4,0.25,0,4,2,unauthorized,0
CASE-2799,1034.64,9,0,0,0,18,2,597.08,3,0.124,0,2,4,unauthorized,0
CASE-2800,14048.73,13,0,0,1,0,1,28523.38,3,0.25,0,4,2,defective,1
CASE-2801,9393.96,1,1,1,0,2,3,8807.25,3,0.227,0,1,5,defective,0
CASE-2802,3856.72,4,4,0,0,25,1,3568.75,0,0.467,1,1,5,duplicate,0
CASE-2803,8241.83,1,5,2,1,25,57,3459.39,0,1.0,0,4,2,item_not_received,1
CASE-2804,108081.55,1,0,0,1,6,4,77629.05,10,0.092,0,5,1,other,1
CASE-2805,123720.54,19,1,0,1,8,3,71886.74,1,0.034,0,6,0,item_not_received,1
CASE-2806,81233.02,2,0,6,1,0,4,160061.15,6,0.115,0,4,2,unauthorized,1
CASE-2807,802.68,44,0,1,0,21,24,1838.54,0,0.149,0,2,4,unauthorized,0
CASE-2808,9637.13,6,0,7,0,8,20,9987.9,0,0.044,2,2,4,unauthorized,0
CASE-2809,119395.81,8,1,0,1,0,14,276047.37,13,0.334,0,6,0,item_not_received,1
CASE-2810,10019.64,11,1,0,1,8,60,23443.66,7,0.442,0,6,0,item_not_received,1
CASE-2811,1028.37,13,0,0,1,0,3,750.42,12,0.188,0,5,1,defective,1
CASE-2812,19717.11,72,0,0,1,0,29,36273.95,8,0.18,4,5,1,item_not_received,1
CASE-2813,85561.25,15,0,0,0,19,86,185020.19,2,0.056,0,2,4,item_not_received,1
CASE-2814,13202.23,3,0,1,0,29,21,23108.67,1,0.165,0,4,2,unauthorized,0
CASE-2815,33062.33,6,8,2,1,0,8,45846.65,3,1.0,0,5,1,item_not_received,0
CASE-2816,15614.06,2,0,1,0,27,61,7227.82,0,0.145,0,6,0,item_not_received,0
CASE-2817,867.39,15,3,0,1,0,3,2157.06,6,0.821,0,5,1,unauthorized,0
CASE-2818,132203.58,4,3,1,0,27,73,205535.11,0,0.27,1,6,0,other,0
CASE-2819,1821.62,84,2,1,1,26,86,1839.2,11,0.376,0,3,3,item_not_received,1
CASE-2820,1447.85,1,1,0,0,15,3,2143.66,3,0.085,0,4,2,other,0
CASE-2821,5461.9,1,1,0,1,19,55,11474.9,1,0.198,1,4,2,unauthorized,1
CASE-2822,1135.96,1,0,3,1,0,3,1345.38,2,0.376,1,2,4,defective,0
CASE-2823,586.02,4,0,0,1,23,4,236.97,11,0.073,0,5,1,item_not_received,1
CASE-2824,143329.4,38,3,0,0,12,15,296656.17,4,0.629,0,3,3,unauthorized,1
CASE-2825,1581.5,1,0,5,0,8,22,1916.81,2,0.103,0,4,2,item_not_received,0
CASE-2826,1367.24,1,0,2,0,19,17,927.73,4,0.238,3,4,2,unauthorized,0
CASE-2827,8308.64,10,0,0,1,19,24,7831.67,11,0.408,0,6,0,other,1
CASE-2828,1189.7,17,4,0,1,1,26,2324.04,2,0.781,2,5,1,other,1
CASE-2829,17548.42,57,0,3,0,14,17,6494.49,2,0.3,0,4,2,item_not_received,0
CASE-2830,7292.55,19,1,0,1,0,24,4599.05,0,0.429,0,4,2,unauthorized,1
CASE-2831,1886.59,1,6,1,1,0,11,2764.31,0,0.495,5,5,1,duplicate,1
CASE-2832,15860.72,4,0,2,1,11,25,15912.71,0,0.058,0,6,0,unauthorized,1
CASE-2833,1550.45,12,1,0,1,6,50,1765.48,0,0.2,1,5,1,item_not_received,1
CASE-2834,638.42,10,0,0,0,0,8,1033.56,0,0.021,2,2,4,item_not_received,0
CASE-2835,5740.58,5,0,2,1,13,65,10396.11,4,0.244,2,4,2,item_not_received,1
CASE-2836,30470.67,4,1,3,1,18,5,60457.94,1,0.136,0,6,0,item_not_received,1
CASE-2837,13351.02,59,0,1,0,17,72,30583.75,0,0.235,4,2,4,defective,0
CASE-2838,12453.6,3,0,0,1,25,22,30092.09,2,0.391,0,5,1,unauthorized,1
CASE-2839,1949.41,37,0,2,1,10,20,2820.38,4,0.104,0,6,0,duplicate,1
CASE-2840,9041.72,65,3,0,0,12,25,5062.0,4,0.514,0,2,4,item_not_received,0
CASE-2841,16064.71,9,1,0,0,29,22,10221.51,1,0.157,0,3,3,duplicate,1
CASE-2842,390.87,7,0,0,1,10,78,307.75,0,0.351,1,6,0,unauthorized,1
CASE-2843,3238.03,17,0,0,1,6,5,5275.23,0,0.08,1,6,0,unauthorized,1
CASE-2844,1556.76,14,7,0,1,0,89,1902.66,10,1.0,0,4,2,item_not_received,1
CASE-2845,34128.78,2,5,1,1,3,79,80925.67,2,0.443,0,3,3,unauthorized,0
CASE-2846,14580.19,35,0,2,1,0,9,7121.49,3,0.118,2,4,2,duplicate,1
CASE-2847,64127.15,15,0,0,0,13,27,89803.15,12,0.23,1,3,3,item_not_received,0
CASE-2848,1987.56,4,0,2,0,5,2,4730.33,1,0.281,0,3,3,item_not_received,0
CASE-2849,647.5,64,0,2,1,0,10,1182.46,10,0.214,0,5,1,defective,1
CASE-2850,19157.72,6,0,1,1,0,27,44815.93,4,0.223,0,4,2,defective,1
CASE-2851,111431.87,98,1,0,1,6,4,178959.37,3,0.538,4,5,1,item_not_received,0
CASE-2852,19686.36,4,0,0,1,0,29,45025.12,0,0.203,0,5,1,item_not_received,1
CASE-2853,20941.71,3,0,0,0,24,15,27914.38,1,0.318,0,4,2,item_not_received,0
CASE-2854,11142.91,49,0,0,1,24,59,25345.17,11,0.386,0,6,0,item_not_received,1
CASE-2855,127857.81,17,0,0,1,0,5,215456.73,3,0.006,0,5,1,item_not_received,1
CASE-2856,143798.41,12,1,0,1,0,2,317668.36,0,0.114,0,5,1,other,1
CASE-2857,51969.75,8,0,0,1,0,6,18789.6,7,0.144,1,4,2,unauthorized,1
CASE-2858,803.96,40,0,1,1,8,5,252.39,1,0.178,6,5,1,unauthorized,0
CASE-2859,14806.9,11,3,2,1,0,55,28930.14,3,0.343,0,4,2,item_not_received,1
CASE-2860,142353.31,2,2,0,1,26,19,119227.59,0,0.215,0,6,0,unauthorized,0
CASE-2861,5356.97,4,0,1,0,16,27,8052.38,9,0.132,0,3,3,defective,0
CASE-2862,17880.21,4,0,2,1,0,14,16417.97,4,0.16,4,4,2,unauthorized,1
CASE-2863,1175.41,18,0,1,0,5,3,678.04,0,0.129,0,3,3,item_not_received,1
CASE-2864,426.95,50,5,0,0,26,5,147.56,4,0.295,0,3,3,item_not_received,0
CASE-2865,5279.9,4,1,0,1,4,31,10337.68,4,0.332,3,5,1,item_not_received,1
CASE-2866,1037.11,2,5,0,1,16,21,597.47,2,0.876,0,4,2,unauthorized,0
CASE-2867,1218.55,74,3,3,1,0,1,861.19,5,0.382,0,3,3,defective,1
CASE-2868,553.6,35,0,0,0,9,2,771.56,7,0.351,1,3,3,defective,0
CASE-2869,11965.1,12,1,2,1,25,24,23693.46,9,0.084,1,5,1,item_not_received,0
CASE-2870,874.22,12,1,5,1,0,23,1530.77,0,0.161,1,5,1,defective,1
